"","expected_return","risk"
"ADRO.JK",0.0584801955703758,0.0186525145069675
"ANTM.JK",-0.00606138430306002,0.0213592221613946
"BRIS.JK",-0.0224518725835505,0.0152443287225404
"BRPT.JK",0.0057614873411555,0.0107999438099101
"CPIN.JK",0.00307009977575409,0.00405903796428889
"EMTK.JK",0.00573693884521847,0.0276305905298137
"ERAA.JK",-0.0038953923641023,0.00650694441751954
"EXCL.JK",0.00627646753468857,0.0102656076250469
"HRUM.JK",0.0521130231348415,0.0739495334759649
"ICBP.JK",0.00289009787181326,0.0042007808738105
"INCO.JK",0.00640589163008339,0.0211933163748474
"INDF.JK",0.00814865782651854,0.00134110067572262
"INKP.JK",-0.0246689451775211,0.00847560334946169
"INTP.JK",-0.0163136907216523,0.0115908659230365
"ITMG.JK",0.0642050285346727,0.0133957675425923
"JPFA.JK",0.0108320893352946,0.0121899535169486
"KLBF.JK",0.0102460666504723,0.00273526482208913
"MDKA.JK",0.0294610025939534,0.0216248970387611
"MIKA.JK",0.000640135990932776,0.00594909775905769
"MNCN.JK",-0.00443312338466836,0.00688443888545389
"PGAS.JK",0.0141280095398473,0.0125511881534452
"PTBA.JK",0.0314543851068364,0.0133752845677149
"SCMA.JK",-0.0362706584822682,0.0133907549652981
"SMGR.JK",-0.0219846829016742,0.00989111384753101
"TINS.JK",-0.00453711851448952,0.019424640669623
"TLKM.JK",0.0159458524625452,0.00336445652634378
"TPIA.JK",0.00300401550630512,0.0148542946226427
"UNTR.JK",0.0193104356026723,0.0101874035746056
"UNVR.JK",-0.0153287950772899,0.00800023093782026
"WIKA.JK",-0.0324882841922313,0.00979832993954762
